Specimen_Number,Specimen_Letter,Measurement_Type,Measurement_(mm),Remeasurement1,Remeasurement2,Remeasurement3,Remeasurement4,Standard_Deviation,Catalogue_Num,Pit,Level_min,Level_max,Drawer,Higher_Classification,Family,Genus,Element,NISP,Details,Notes,Quadrant,GMM? Or measurement,TeethCorrosion
25056,NA,Fem_L,10.979,NA,NA,NA,NA,NA,41229,1A,130,135,2C6,salamander,Ambystomatidae,Ambystoma,femur,1,1L,NA,NA,NA,NA
25062,NA,Fem_L,12.863,NA,NA,NA,NA,NA,41229,1B,130,135,2C5,salamander,Ambystomatidae,Ambystoma,femur,1,1L,NA,NA,NA,NA
25064,NA,Hum_DW,3.96,NA,NA,NA,NA,NA,41229,1B,130,135,2C5,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,distal frag,NA,NA,NA
25092,NA,Hum_L,14.482,NA,NA,NA,NA,NA,41229,1E,135,140,2C8,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25092,NA,Hum_DW,4.819,NA,NA,NA,NA,NA,41229,1E,135,140,2C8,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25102,NA,Hum_DW,4.589,NA,NA,NA,NA,NA,41229,1D,345,350,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,NA,in 2 pieces,NA,NA,NA
25104,NA,Fem_L,13.7,NA,NA,NA,NA,NA,41229,1D,345,350,NA,salamander,Ambystomatidae,Ambystoma,femur,1,1L,NA,NA,NA,NA
25156,NA,Hum_DW,3.795,NA,NA,NA,NA,NA,41229,1D,315,320,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,distal frag,NA,NA,NA
25157,NA,Hum_DW,4.844,NA,NA,NA,NA,NA,41229,1D,315,320,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,distal frag,NA,NA,NA
25158,NA,Hum_DW,4.931,NA,NA,NA,NA,NA,41229,1D,315,320,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,distal frag,NA,NA,NA
25159,NA,Hum_L,11.589,NA,NA,NA,NA,NA,41229,1D,315,320,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25159,NA,Hum_DW,3.994,NA,NA,NA,NA,NA,41229,1D,315,320,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25175,NA,Hum_DW,3.511,NA,NA,NA,NA,NA,41229,1D,305,310,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,distal frag,NA,NA,NA
25189,NA,Hum_L,12.96,NA,NA,NA,NA,NA,41229,1E,295,300,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25192,NA,Fem_L,12.474,11.944,12.018,11.926,11.99,0.228544963,41229,1D/E,290,295,NA,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25203,NA,Hum_L,14.477,NA,NA,NA,NA,NA,41229,1D,295,300,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25203,NA,Hum_DW,4.274,NA,NA,NA,NA,NA,41229,1D,295,300,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25207,NA,Hum_L,14.325,NA,NA,NA,NA,NA,41229,1D,300,305,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25207,NA,Hum_DW,4.77,NA,NA,NA,NA,NA,41229,1D,300,305,NA,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25228,NA,Hum_DW,4.575,NA,NA,NA,NA,NA,41229,1,140,145,2C9,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25228,NA,Hum_L,13.728,NA,NA,NA,NA,NA,41229,1,140,145,2C9,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25239,NA,Hum_DW,4.954,NA,NA,NA,NA,NA,41229,1B,140,145,2C9,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,fragment,NA,NA,NA
25241,NA,Fem_L,14.501,NA,NA,NA,NA,NA,41229,1D,140,145,2C9,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25286,NA,Fem_L,14.539,NA,NA,NA,NA,NA,41229,1E,150,155,2D2,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25287,NA,Hum_DW,4.571,NA,NA,NA,NA,NA,41229,1E,150,155,2D2,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,distal frag,NA,NA,NA
25306,NA,Fem_L,13.72,NA,NA,NA,NA,NA,41229,1D,155,160,2D3,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25307,NA,Fem_L,10.7,NA,NA,NA,NA,NA,41229,1D,155,160,2D3,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25309,NA,Hum_L,11.526,NA,NA,NA,NA,NA,41229,1D,155,160,2D3,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25309,NA,Hum_DW,3.593,NA,NA,NA,NA,NA,41229,1D,155,160,2D3,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25310,NA,Hum_L,10.93,NA,NA,NA,NA,NA,41229,1D,155,160,2D3,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25310,NA,Hum_DW,3.564,NA,NA,NA,NA,NA,41229,1D,155,160,2D3,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25351,NA,Hum_L,11.276,NA,NA,NA,NA,NA,41229,1E,155,160,2D4,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25351,NA,Hum_DW,4.593,NA,NA,NA,NA,NA,41229,1E,155,160,2D4,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25361,NA,Hum_L,11.007,NA,NA,NA,NA,NA,41229,1B,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25361,NA,Hum_DW,3.328,NA,NA,NA,NA,NA,41229,1B,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25370,NA,Hum_L,11.077,NA,NA,NA,NA,NA,41229,1D/E,160,165,2D5,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25370,NA,Hum_DW,3.516,NA,NA,NA,NA,NA,41229,1D/E,160,165,2D5,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25391,NA,Fem_L,13.573,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,femur,1,1L,NA,NA,NA,NA
25392,NA,Fem_L,10.589,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,femur,1,1L,NA,NA,NA,NA
25393,NA,Fem_L,13.929,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,femur,1,1L,NA,NA,NA,NA
25394,NA,Fem_L,12.857,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,femur,1,1L,NA,NA,NA,NA
25396,NA,Fem_L,12.526,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25397,NA,Hum_L,13.504,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25397,NA,Hum_DW,4.15,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25398,NA,Hum_L,12.386,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25398,NA,Hum_DW,4.148,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25400,NA,Hum_L,13.395,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25400,NA,Hum_DW,4.622,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25401,NA,Hum_L,12.099,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25401,NA,Hum_DW,4.409,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25402,NA,Hum_L,12.853,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25402,NA,Hum_DW,4.479,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25403,NA,Hum_L,11.74,11.783,11.74,11.828,11.828,0.044002273,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25403,NA,Hum_DW,4.691,4.717,4.685,4.712,4.722,0.016410363,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25404,NA,Hum_L,12.477,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25404,NA,Hum_DW,4.515,NA,NA,NA,NA,NA,41229,1E,160,165,2D6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25649,a,Fem_L,12.547,NA,NA,NA,NA,NA,41229,1D/E,210,215,2E5,salamander,NA,NA,femur,1,1L,NA,NA,NA,NA
25649,c,Fem_L,12.124,NA,NA,NA,NA,NA,41229,1D/E,210,215,2E5,salamander,NA,NA,femur,1,1R,NA,NA,NA,NA
25655,NA,Hum_DW,4.481,NA,NA,NA,NA,NA,41229,1D/E,210,215,2E5,salamander,NA,NA,humerus,1,1L,NA,NA,NA,NA
25656,NA,Hum_DW,4.296,NA,NA,NA,NA,NA,41229,1D/E,210,215,2E5,salamander,NA,NA,humerus,1,1R,NA,NA,NA,NA
25812,NA,Fem_L,12.357,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25856,NA,Hum_DW,4.936,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,humerus,1,1L,NA,NA,NA,NA
25857,a,Hum_L,14.834,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25857,a,Hum_DW,5.252,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25857,b,Hum_L,13.891,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25857,b,Hum_DW,4.905,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25857,c,Hum_DW,4.499,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,humerus,1,1R,NA,NA,NA,NA
25859,a,Fem_L,12.326,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25859,b,Fem_L,12.543,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25859,c,Fem_L,10.277,NA,NA,NA,NA,NA,41229,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,femur,1,1R,NA,NA,NA,NA
25893,NA,Hum_L,13.082,NA,NA,NA,NA,NA,41229,1C,215,220,2E6,salamander,Ambystomatidae,NA,humerus,1,1L,NA,NA,NA,NA
25893,NA,Hum_DW,4.28,NA,NA,NA,NA,NA,41229,1C,215,220,2E6,salamander,Ambystomatidae,NA,humerus,1,1L,NA,NA,NA,NA
25966,NA,Fem_L,13.181,NA,NA,NA,NA,NA,41229,1D/E,220,225,2E7,salamander,Ambystomatidae,NA,femur,1,1L,NA,NA,NA,NA
25967,NA,Fem_L,12.448,12.76,12.699,12.704,12.704,0.122772147,41229,1D/E,220,225,2E7,salamander,Ambystomatidae,NA,femur,1,1R,NA,NA,NA,NA
25968,a,Hum_L,14.235,NA,NA,NA,NA,NA,41229,1D/E,220,225,2E7,salamander,Ambystomatidae,NA,humerus,1,1R,NA,NA,NA,NA
