Sample,Material,Sr87_Sr86,YBP
H18,hackberry_aragonite,0.708492,1800
H17,hackberry_aragonite,0.708434,2700
H16,hackberry_aragonite,0.70846,3500
H15,hackberry_aragonite,0.708453,4400
H14,hackberry_aragonite,0.708501,5200
B9,hackberry_aragonite,0.708419,5200
H13,hackberry_aragonite,0.708453,6000
H12,hackberry_aragonite,0.708494,6900
H11,hackberry_aragonite,0.708387,7700
H10,hackberry_aragonite,0.708779,8600
H10A,hackberry_aragonite,0.708372,8600
H10B,hackberry_aragonite,0.708362,8600
H10C,hackberry_aragonite,0.708387,8600
H10D,hackberry_aragonite,0.708378,8600
H9,hackberry_aragonite,0.70854,9400
H8,hackberry_aragonite,0.708409,10300
H7,hackberry_aragonite,0.708422,11100
H6,hackberry_aragonite,0.708747,11900
H5C,hackberry_aragonite,0.708929,12800
H5D,hackberry_aragonite,0.708684,12800
HPT2,hackberry_aragonite,0.708613,12800
H4,hackberry_aragonite,0.708653,13200
B5,hackberry_aragonite,0.708958,14400
H1,hackberry_aragonite,0.708526,15200
HPT1,hackberry_aragonite,0.708571,15200
HA,hackberry_aragonite,0.70868,15400
HE,hackberry_aragonite,0.708983,17200
HB,hackberry_aragonite,0.708808,18200
B1,hackberry_aragonite,0.709513,18400
HBOLD2,hackberry_aragonite,0.709055,19600
HBOLD3,hackberry_aragonite,0.708841,19600
HBOLD1,hackberry_aragonite,0.708963,20800
G2e,pocket_gopher_enamel,0.7088,2300
G3e,pocket_gopher_enamel,0.70872,4400
Lyn1,pocket_gopher_enamel,0.70845,6000
G4e,pocket_gopher_enamel,0.70894,6900
G5e,pocket_gopher_enamel,0.708616,7300
G6e,pocket_gopher_enamel,0.708963,8600
Lyn2,pocket_gopher_enamel,0.70889,8600
Lyn4,pocket_gopher_enamel,0.70914,11900
Lyn5,pocket_gopher_enamel,0.70937,15000
Lyn6,pocket_gopher_enamel,0.70928,16800
1e,vole_enamel,0.708938,12800
2e,vole_enamel,0.709108,12800
3e,vole_enamel,0.709211,18200
