Catalogue_Num,Specimen_Number,Pit,Level_min,Level_max,Drawer,Higher_Classification,Family,Genus,Element,NISP,Details,Notes,Quadrant
41229,4119,1A,115,120,2B17,lizard,,,parietal,1,1R,horn fragment,NA
41229,534,1B,125,130,2C3,lizard,,,frontal,1,NA,NA,NA
41229,535,1B,185,190,2D12,lizard,,,parietal,1,NA,NA,NA
41229,5478,1C,25,30,2A6,lizard,,,parietal,1,NA,2 long horns with 1 middle,NA
41229,5499,1B,40,45,2A10,lizard,,,surangular_articular,1,1L,id as squamosal,NA
41229,590,1A,95,100,2B11,lizard,,,frontal,1,NA,NA,NA
41229,5995,1C,235,240,2.00E+10,lizard,,,squamosal,1,1R,3 short horns,NA
41229,6181,1B,130,135,2C5,lizard,,,squamosal,1,NA,"fragment, 1 med size horn",NA
41229,6223,1,80,85,2B5,lizard,,,squamosal,1,1L,3 long horns,NA
41229,6224,1,80,85,2B5,lizard,,,parietal,1,1L,long horn,NA
41229,626,1A,55,60,2A14,lizard,,,parietal,1,NA,"R horn frag, long",NA
41229,627,1A,55,60,2A14,lizard,,,frontal,1,1L,NA,NA
41229,6282,1A,100,105,2B12,lizard,,,osteoderm,1,NA,NA,NA
41229,6283,1A,100,105,2B12,lizard,,,osteoderm,1,NA,NA,NA
41229,6307,1B,95,100,2B11,lizard,,,frontal,1,NA,NA,NA
41229,6357,1B,95,100,2B11,lizard,,,osteoderm,1,NA,NA,NA
41229,6532,1B,120,125,2C2,lizard,,,frontal,1,NA,NA,NA
41229,6626,1C,220,225,2.00E+07,lizard,,,osteoderm,1,NA,NA,NA
41229,6875,1,15,20,2A5,lizard,,,squamosal,1,1L,2 long horns,NA
41229,698,1,65,70,2A16,lizard,,,parietal,1,NA,2 long horns with 1 small middle,NA
41229,7132,1A,45,50,2A11,lizard,,,parietal,1,NA,large L horn,NA
41229,7133,1A,45,50,2A11,lizard,,,squamosal,1,NA,small L horn,NA
