Catalogue_Num,Specimen_Number,Pit,Level_min,Level_max,Drawer,Higher_Classification,Family,Genus,Element,NISP,Details,Notes
41229,4043,1C,215,220,2E6,salamander,Ambystomatidae,Ambystoma,vertebra,6,trunk,NA
41229,4044,1C,215,220,2E6,salamander,Ambystomatidae,Ambystoma,vertebra,3,caudal vert,NA
41229,4047,1C,215,220,2E6,salamander,Ambystomatidae,Ambystoma,vertebra,1,trunk,NA
41229,4785,1C,200,205,2E2,salamander,Ambystomatidae,Ambystoma,vertebra,2,trunk frag,NA
41229,4786,1C,200,205,2E2,salamander,Ambystomatidae,Ambystoma,atlas,1,NA,NA
41229,4789,1C,230,235,2E9,salamander,Ambystomatidae,NA,vertebra,10,trunk,NA
41229,4790,1C,230,235,2E9,salamander,Ambystomatidae,NA,vertebra,2,caudal vert,NA
41229,5144,East half of comp. pit 1,245,255,2E12,salamander,Ambystomatidae,NA,vertebra,3,trunk,NA
41229,5145,East half of comp. pit 1,245,255,2E12,salamander,Ambystomatidae,NA,vertebra,1,caudal vert,NA
41229,5170,1C,180,185,2D11,salamander,Ambystomatidae,Ambystoma,atlas,1,NA,NA
41229,5171,1C,180,185,2D11,salamander,Ambystomatidae,Ambystoma,vertebra,3,caudal vert,NA
41229,5172,1C,180,185,2D11,salamander,Ambystomatidae,Ambystoma,vertebra,11,anterior to mid trunk,NA
41229,5219,1C,195,200,2D15,salamander,Ambystomatidae,Ambystoma,atlas,1,NA,NA
41229,5220,1C,195,200,2D15,salamander,Ambystomatidae,Ambystoma,vertebra,6,anterior to mid trunk,NA
41229,5221,1C,195,200,2D15,salamander,Ambystomatidae,Ambystoma,vertebra,3,caudal vert,NA
41229,528,1B,165,170,2D7,salamander,Ambystomatidae,Ambystoma,vertebra,2,mid to posterior trunk,NA
41229,5786,E half of composite pit 1,220,230,2D11,salamander,Ambystomatidae,Ambystoma,vertebra,1,anterior to mid trunk,NA
41229,5912,1B,160,165,2D6,salamander,Ambystomatidae,Ambystoma,vertebra,1,anterior trunk,NA
41229,5913,1B,160,165,2D6,salamander,Ambystomatidae,Ambystoma,vertebra,1,anterior to mid trunk,NA
41229,6071,1C,245,250,2E12,salamander,Ambystomatidae,NA,vertebra,17,trunk,NA
41229,6072,1C,245,250,2E12,salamander,Ambystomatidae,NA,vertebra,4,caudal vert,NA
41229,6073,1C,245,250,2E12,salamander,Ambystomatidae,NA,atlas,1,NA,NA
41229,9361,1B,130,135,2C5,salamander,Ambystomatidae,Ambystoma,vertebra,1,mid trunk,NA
41229,9362,1C,200,205,2E2,salamander,Ambystomatidae,Ambystoma,vertebra,2,trunk frag,NA
41229,9363,1C,200,205,2E2,salamander,Ambystomatidae,Ambystoma,vertebra,1,caudal vert,NA
41229,9366,1C,220,225,2E7,salamander,Ambystomatidae,Ambystoma,vertebra,9,trunk,NA
41229,9367,1C,220,225,2E7,salamander,Ambystomatidae,Ambystoma,vertebra,1,caudal vert,NA
41229,9368,1C,220,225,2E7,salamander,Ambystomatidae,Ambystoma,vertebra,1,trunk,NA
41229,9369,1B,135,140,2C8,salamander,Ambystomatidae,Ambystoma,vertebra,1,mid trunk,NA
41229,9388,1B,120,125,2C2,salamander,Ambystomatidae,Ambystoma,vertebra,1,trunk,open notochord
41229,9864,1C,100,105,2B12,salamander,Ambystomatidae,Ambystoma,vertebra,1,trunk,NA
41229,10074,1D,100,105,2B12,salamander,Ambystomatidae,Ambystoma,vertebra,1,anterior to mid trunk,closed notochord
41229,10168,1C,255,260,2E2,salamander,Ambystomatidae,Ambystoma,vertebra,1,anterior to mid trunk,NA
41229,10275,1C,250,255,2E12,salamander,Ambystomatidae,NA,atlas,1,NA,NA
41229,10276,1C,250,255,2E12,salamander,Ambystomatidae,NA,vertebra,5,caudal vert,NA
41229,10277,1C,250,255,2E12,salamander,Ambystomatidae,NA,vertebra,11,trunk,NA
41229,10373,1B,165,170,2D7,salamander,Ambystomatidae,Ambystoma,vertebra,1,caudal vert,NA
41229,10416,1C,185,190,2D12,salamander,Ambystomatidae,Ambystoma,vertebra,5,anterior to mid trunk,NA
41229,10417,1C,185,190,2D12,salamander,Ambystomatidae,Ambystoma,atlas,1,NA,NA
41229,10427,1D,80,85,2B5,salamander,Ambystomatidae,Ambystoma,vertebra,1,trunk,closed notochord
41229,10574,1B,185,190,2D12,salamander,Ambystomatidae,Ambystoma,vertebra,5,trunk,NA
41229,10584,1B,175,180,2D9,salamander,Ambystomatidae,Ambystoma,vertebra,5,anterior to mid trunk,NA
41229,10645,1C,240,245,2E11,salamander,Ambystomatidae,NA,vertebra,13,trunk,NA
41229,10646,1C,240,245,2E11,salamander,Ambystomatidae,NA,vertebra,4,caudal vert,NA
41229,10647,1C,240,245,2E11,salamander,Ambystomatidae,NA,atlas,1,NA,NA
41229,10680,1B,190,195,2D13,salamander,Ambystomatidae,Ambystoma,vertebra,1,anterior to mid trunk,NA
41229,10691,1B,200,205,2E2,salamander,Ambystomatidae,Ambystoma,vertebra,2,anterior to mid trunk,NA
41229,10705,1C,220,225,2E7,salamander,Ambystomatidae,Ambystoma,vertebra,4,caudal vert,NA
41229,10854,1D,325,330,NA,salamander,Ambystomatidae,Ambystoma,vertebra,1,mid trunk,closed notochord
41229,10855,1D,325,330,NA,salamander,Ambystomatidae,Ambystoma,vertebra,3,caudal,closed notochord
41229,10887,1D/E,290,295,NA,salamander,Ambystomatidae,Ambystoma,vertebra,1,caudosacral,closed notochord
41229,10899,1D,315,320,NA,salamander,Ambystomatidae,Ambystoma,vertebra,1,anterior trunk,closed notochord
41229,10900,1D,315,320,NA,salamander,Ambystomatidae,Ambystoma,vertebra,1,caudal,open notochord
41229,10906,1D,280,285,NA,salamander,Ambystomatidae,Ambystoma,vertebra,1,caudosacral,closed notochord
41229,10968,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,vertebra,4,caudal vert,NA
41229,10969,1D/E,215,220,2E6,salamander,Ambystomatidae,Ambystoma,vertebra,1,trunk,NA
41229,10996,1D,345,350,NA,salamander,Ambystomatidae,Ambystoma,vertebra,1,mid trunk,closed notochord
41229,10997,1D,345,350,NA,salamander,Ambystomatidae,Ambystoma,vertebra,3,caudal,closed notochord
41229,11011,1D,305,310,NA,salamander,Ambystomatidae,Ambystoma,vertebra,1,mid trunk,closed notochord
41229,11012,1D,305,310,NA,salamander,Ambystomatidae,Ambystoma,vertebra,1,mid trunk,open notochord
41229,11249,1D,310,315,NA,salamander,Ambystomatidae,Ambystoma,vertebra,1,sacral vert frag,closed notochord
41229,11260,1D,260,265,2E13,salamander,Ambystomatidae,NA,vertebra,10,trunk,NA
41229,11261,1D,260,265,2E13,salamander,Ambystomatidae,NA,vertebra,3,caudal vert,NA
41229,11262,1D,260,265,2E13,salamander,Ambystomatidae,NA,atlas,1,NA,NA
41229,11443,1D,275,280,2E14,salamander,Ambystomatidae,NA,vertebra,3,trunk,NA
41229,11444,1D,275,280,2E14,salamander,Ambystomatidae,NA,vertebra,1,caudal vert,NA
41229,11455,1D,315,320,NA,salamander,Ambystomatidae,Ambystoma,vertebra,2,trunk frag,closed notochord
