"Interval","Taxon","NISP"
0,"Notiosorex_NISP",3
5,"Notiosorex_NISP",2
10,"Notiosorex_NISP",2
15,"Notiosorex_NISP",0
20,"Notiosorex_NISP",2
25,"Notiosorex_NISP",6
30,"Notiosorex_NISP",3
35,"Notiosorex_NISP",3
40,"Notiosorex_NISP",1
45,"Notiosorex_NISP",3
50,"Notiosorex_NISP",2
55,"Notiosorex_NISP",3
60,"Notiosorex_NISP",7
65,"Notiosorex_NISP",18
70,"Notiosorex_NISP",25
75,"Notiosorex_NISP",31
80,"Notiosorex_NISP",52
85,"Notiosorex_NISP",23
90,"Notiosorex_NISP",33
95,"Notiosorex_NISP",10
100,"Notiosorex_NISP",8
105,"Notiosorex_NISP",13
110,"Notiosorex_NISP",6
115,"Notiosorex_NISP",13
120,"Notiosorex_NISP",28
125,"Notiosorex_NISP",34
130,"Notiosorex_NISP",21
135,"Notiosorex_NISP",11
140,"Notiosorex_NISP",20
145,"Notiosorex_NISP",50
150,"Notiosorex_NISP",14
155,"Notiosorex_NISP",19
160,"Notiosorex_NISP",3
165,"Notiosorex_NISP",0
170,"Notiosorex_NISP",0
175,"Notiosorex_NISP",3
180,"Notiosorex_NISP",0
185,"Notiosorex_NISP",5
190,"Notiosorex_NISP",2
195,"Notiosorex_NISP",5
200,"Notiosorex_NISP",0
205,"Notiosorex_NISP",0
210,"Notiosorex_NISP",0
215,"Notiosorex_NISP",0
220,"Notiosorex_NISP",0
225,"Notiosorex_NISP",0
230,"Notiosorex_NISP",2
235,"Notiosorex_NISP",0
240,"Notiosorex_NISP",0
245,"Notiosorex_NISP",0
250,"Notiosorex_NISP",0
255,"Notiosorex_NISP",0
260,"Notiosorex_NISP",0
265,"Notiosorex_NISP",0
270,"Notiosorex_NISP",0
275,"Notiosorex_NISP",0
280,"Notiosorex_NISP",0
285,"Notiosorex_NISP",0
290,"Notiosorex_NISP",0
295,"Notiosorex_NISP",0
300,"Notiosorex_NISP",0
305,"Notiosorex_NISP",0
310,"Notiosorex_NISP",0
315,"Notiosorex_NISP",0
320,"Notiosorex_NISP",0
325,"Notiosorex_NISP",0
330,"Notiosorex_NISP",0
335,"Notiosorex_NISP",0
340,"Notiosorex_NISP",0
345,"Notiosorex_NISP",0
350,"Notiosorex_NISP",0
0,"Cryptotis_NISP",0
5,"Cryptotis_NISP",3
10,"Cryptotis_NISP",7
15,"Cryptotis_NISP",4
20,"Cryptotis_NISP",2
25,"Cryptotis_NISP",13
30,"Cryptotis_NISP",13
35,"Cryptotis_NISP",2
40,"Cryptotis_NISP",1
45,"Cryptotis_NISP",0
50,"Cryptotis_NISP",2
55,"Cryptotis_NISP",2
60,"Cryptotis_NISP",1
65,"Cryptotis_NISP",2
70,"Cryptotis_NISP",2
75,"Cryptotis_NISP",4
80,"Cryptotis_NISP",2
85,"Cryptotis_NISP",7
90,"Cryptotis_NISP",1
95,"Cryptotis_NISP",2
100,"Cryptotis_NISP",5
105,"Cryptotis_NISP",8
110,"Cryptotis_NISP",0
115,"Cryptotis_NISP",12
120,"Cryptotis_NISP",15
125,"Cryptotis_NISP",33
130,"Cryptotis_NISP",46
135,"Cryptotis_NISP",15
140,"Cryptotis_NISP",34
145,"Cryptotis_NISP",102
150,"Cryptotis_NISP",58
155,"Cryptotis_NISP",41
160,"Cryptotis_NISP",17
165,"Cryptotis_NISP",5
170,"Cryptotis_NISP",2
175,"Cryptotis_NISP",1
180,"Cryptotis_NISP",0
185,"Cryptotis_NISP",3
190,"Cryptotis_NISP",0
195,"Cryptotis_NISP",5
200,"Cryptotis_NISP",1
205,"Cryptotis_NISP",1
210,"Cryptotis_NISP",1
215,"Cryptotis_NISP",0
220,"Cryptotis_NISP",0
225,"Cryptotis_NISP",0
230,"Cryptotis_NISP",0
235,"Cryptotis_NISP",0
240,"Cryptotis_NISP",0
245,"Cryptotis_NISP",0
250,"Cryptotis_NISP",0
255,"Cryptotis_NISP",0
260,"Cryptotis_NISP",0
265,"Cryptotis_NISP",0
270,"Cryptotis_NISP",0
275,"Cryptotis_NISP",0
280,"Cryptotis_NISP",0
285,"Cryptotis_NISP",0
290,"Cryptotis_NISP",0
295,"Cryptotis_NISP",0
300,"Cryptotis_NISP",0
305,"Cryptotis_NISP",0
310,"Cryptotis_NISP",0
315,"Cryptotis_NISP",0
320,"Cryptotis_NISP",0
325,"Cryptotis_NISP",0
330,"Cryptotis_NISP",0
335,"Cryptotis_NISP",0
340,"Cryptotis_NISP",0
345,"Cryptotis_NISP",0
350,"Cryptotis_NISP",0
0,"Geomys_NISP",0
5,"Geomys_NISP",0
10,"Geomys_NISP",0
15,"Geomys_NISP",0
20,"Geomys_NISP",1
25,"Geomys_NISP",2
30,"Geomys_NISP",2
35,"Geomys_NISP",1
40,"Geomys_NISP",2
45,"Geomys_NISP",0
50,"Geomys_NISP",0
55,"Geomys_NISP",3
60,"Geomys_NISP",0
65,"Geomys_NISP",2
70,"Geomys_NISP",0
75,"Geomys_NISP",1
80,"Geomys_NISP",2
85,"Geomys_NISP",5
90,"Geomys_NISP",3
95,"Geomys_NISP",6
100,"Geomys_NISP",4
105,"Geomys_NISP",33
110,"Geomys_NISP",9
115,"Geomys_NISP",12
120,"Geomys_NISP",8
125,"Geomys_NISP",40
130,"Geomys_NISP",1
135,"Geomys_NISP",27
140,"Geomys_NISP",23
145,"Geomys_NISP",16
150,"Geomys_NISP",38
155,"Geomys_NISP",16
160,"Geomys_NISP",4
165,"Geomys_NISP",0
170,"Geomys_NISP",1
175,"Geomys_NISP",0
180,"Geomys_NISP",0
185,"Geomys_NISP",6
190,"Geomys_NISP",5
195,"Geomys_NISP",11
200,"Geomys_NISP",8
205,"Geomys_NISP",3
210,"Geomys_NISP",3
215,"Geomys_NISP",14
220,"Geomys_NISP",4
225,"Geomys_NISP",1
230,"Geomys_NISP",14
235,"Geomys_NISP",0
240,"Geomys_NISP",4
245,"Geomys_NISP",2
250,"Geomys_NISP",1
255,"Geomys_NISP",0
260,"Geomys_NISP",0
265,"Geomys_NISP",0
270,"Geomys_NISP",0
275,"Geomys_NISP",0
280,"Geomys_NISP",0
285,"Geomys_NISP",0
290,"Geomys_NISP",0
295,"Geomys_NISP",0
300,"Geomys_NISP",0
305,"Geomys_NISP",0
310,"Geomys_NISP",0
315,"Geomys_NISP",0
320,"Geomys_NISP",0
325,"Geomys_NISP",0
330,"Geomys_NISP",0
335,"Geomys_NISP",0
340,"Geomys_NISP",0
345,"Geomys_NISP",0
350,"Geomys_NISP",0
0,"Thomomys_NISP",0
5,"Thomomys_NISP",1
10,"Thomomys_NISP",0
15,"Thomomys_NISP",1
20,"Thomomys_NISP",0
25,"Thomomys_NISP",2
30,"Thomomys_NISP",1
35,"Thomomys_NISP",0
40,"Thomomys_NISP",0
45,"Thomomys_NISP",1
50,"Thomomys_NISP",1
55,"Thomomys_NISP",2
60,"Thomomys_NISP",2
65,"Thomomys_NISP",3
70,"Thomomys_NISP",7
75,"Thomomys_NISP",7
80,"Thomomys_NISP",33
85,"Thomomys_NISP",25
90,"Thomomys_NISP",4
95,"Thomomys_NISP",16
100,"Thomomys_NISP",3
105,"Thomomys_NISP",0
110,"Thomomys_NISP",0
115,"Thomomys_NISP",1
120,"Thomomys_NISP",0
125,"Thomomys_NISP",0
130,"Thomomys_NISP",0
135,"Thomomys_NISP",0
140,"Thomomys_NISP",1
145,"Thomomys_NISP",0
150,"Thomomys_NISP",0
155,"Thomomys_NISP",0
160,"Thomomys_NISP",0
165,"Thomomys_NISP",0
170,"Thomomys_NISP",0
175,"Thomomys_NISP",0
180,"Thomomys_NISP",0
185,"Thomomys_NISP",0
190,"Thomomys_NISP",0
195,"Thomomys_NISP",0
200,"Thomomys_NISP",0
205,"Thomomys_NISP",0
210,"Thomomys_NISP",0
215,"Thomomys_NISP",0
220,"Thomomys_NISP",0
225,"Thomomys_NISP",0
230,"Thomomys_NISP",0
235,"Thomomys_NISP",0
240,"Thomomys_NISP",0
245,"Thomomys_NISP",0
250,"Thomomys_NISP",0
255,"Thomomys_NISP",0
260,"Thomomys_NISP",0
265,"Thomomys_NISP",0
270,"Thomomys_NISP",0
275,"Thomomys_NISP",0
280,"Thomomys_NISP",0
285,"Thomomys_NISP",0
290,"Thomomys_NISP",0
295,"Thomomys_NISP",0
300,"Thomomys_NISP",0
305,"Thomomys_NISP",0
310,"Thomomys_NISP",0
315,"Thomomys_NISP",0
