Specimen_Number,Genus,Species,Institution,SIDE,SVL_A,SVL_P,TL,Life Stage,Sex,Hum_L,Hum_DW,Fem_L
1576,Ambystoma,mabeei,UTEP,NA,34,37,56,"""Raised from larva""",NA,4.074,0.981,3.326
1438,Ambystoma,maculatum,UTEP,NA,40,44,71,NA,Female,4.213,1.101,4.069
1577,Ambystoma,mabeei,UTEP,NA,44,47,68,NA,Female,5.04,1.376,4.668
1578,Ambystoma,mabeei,UTEP,NA,NA,47,83,NA,NA,5.263,1.338,4.637
1705,Ambystoma,mavortium,UTEP,NA,47,49,68,"""Larva""",NA,4.606,0.995,NA
1579,Ambystoma,mabeei,UTEP,NA,44,50,85,NA,Male,5.061,1.291,4.811
1271,Ambystoma,macrodactylum,UTEP,NA,47,51,102,NA,NA,5.868,1.558,5.318
1580,Ambystoma,mabeei,UTEP,NA,48,51,86,NA,Female,5.605,1.421,5.04
1393,Ambystoma,macrodactylum,UTEP,NA,48,52,95,NA,Female,6.204,1.537,5.438
1394,Ambystoma,macrodactylum,UTEP,NA,47,52,103,NA,Male,5.908,1.372,5.421
1608,Ambystoma,gracile,UTEP,NA,48,52,92,NA,Male,6.18,1.6,5.316
1285,Ambystoma,opacum,UTEP,NA,49,55,87,NA,Male,NA,NA,5.422
1399,Ambystoma,macrodactylum,UTEP,NA,51,55,102,NA,Female,5.686,1.479,5.106
1581,Ambystoma,mabeei,UTEP,NA,53,57,95,NA,Female,5.332,1.358,4.981
1704,Ambystoma,mavortium,UTEP,NA,54,57,94,"""Larva""",NA,5.03,1.21,3.789
1384,Ambystoma,macrodactylum,UTEP,NA,55,58,103,NA,Female,5.974,1.698,5.368
1400,Ambystoma,macrodactylum,UTEP,NA,54,58,90,NA,Female,5.488,1.512,5.442
1401,Ambystoma,macrodactylum,UTEP,NA,53,58,114,NA,Male,6.414,1.653,5.578
1402,Ambystoma,macrodactylum,UTEP,NA,53,58,109,NA,NA,6.226,1.614,5.25
1582,Ambystoma,mabeei,UTEP,NA,NA,58,NA,NA,Female,5.473,1.446,5.096
1703,Ambystoma,mavortium,UTEP,NA,54,58,96,"""Larva""",NA,NA,NA,3.737
1365,Ambystoma,macrodactylum,UTEP,NA,54,59,98,NA,Female,5.688,1.408,5.4
1575,Ambystoma,ordinaria,UTEP,NA,55,59,103,NA,Male,7.801,1.861,6.611
1403,Ambystoma,macrodactylum,UTEP,NA,55,60,113,NA,Male,6.459,1.663,5.826
1701,Ambystoma,mavortium,UTEP,NA,57,60,108,"""Larva""",NA,5.807,1.508,4.708
1702,Ambystoma,mavortium,UTEP,NA,56,60,98,"""Recently transformed""",NA,7.468,1.781,6.478
1734,Ambystoma,texanum,UTEP,NA,55,60,100,NA,Male,5.07,1.674,5.074
1404,Ambystoma,macrodactylum,UTEP,NA,57,61,93,NA,Female,5.957,1.394,5.61
1583,Ambystoma,mabeei,UTEP,NA,56,61,94,NA,Female,5.898,1.504,5.789
1700,Ambystoma,mavortium,UTEP,NA,58,61,108,"""Larva""",NA,6.066,1.472,4.259
1436,Ambystoma,maculatum,UTEP,NA,57,62,NA,NA,Female,5.45,1.986,5.367
1584,Ambystoma,mabeei,UTEP,NA,60,63,94,NA,Female,6.109,1.62,5.736
1696,Ambystoma,mavortium,UTEP,NA,58,63,105,NA,Female,7.58,1.965,6.834
1295,Ambystoma,opacum,UTEP,NA,57,64,95,NA,Male,6.88,2.026,6.462
1351,Ambystoma,opacum,UTEP,NA,60,64,103,NA,Male,6.878,1.933,6.606
1298,Ambystoma,opacum,UTEP,NA,57,65,110,NA,Male,7.024,2.133,7.189
1299,Ambystoma,opacum,UTEP,NA,57,65,110,NA,Male,7.326,2.097,7.285
