AvgDepth,Age,d13C,dD-raw,dD_corr
0.5,-0.9,-18.69,-148.16,-29.03
2.5,167.65,-18.57,-152.57,-33.9
3.5,251.95,-20.39,-151.26,-34.74
4.5,336.2,-19.75,-155.38,-38.61
5.5,419.6,-20.26,-152.21,-35.66
6.5,501.85,-21.59,-150.77,-35.72
7.5,583.95,-21.44,-151.69,-36.57
8.5,666.35,-21.43,-152.56,-37.55
9.5,748.6,-21.55,-149.93,-34.72
10.5,826.15,-20.68,-150.87,-34.67
11.5,899.1,-19.91,-146.54,-28.76
12.5,971.95,-17.21,-144.66,-23.11
13.5,1045.3,-19.63,-147.02,-28.93
14.5,1119,-18.89,-149.21,-30.45
15.5,1203.9,-16.67,-147.45,-25.54
16.5,1300.2,-17.39,-145.64,-24.39
17.5,1397,-17.43,-148.61,-27.81
18.5,1493.7,-19.58,-147.95,-29.8
19.5,1590.3,-18.13,-146.67,-26.44
20.5,1683.4,-16.59,-146.8,-24.57
21.5,1772.8,-16.56,-147.57,-25.39
22.5,1862.4,-16.6,-150.04,-28.23
24.5,2041.7,-15.81,-148.66,-25.61
25.5,2122.6,-19.22,-152.06,-33.96
26.5,2194.7,-19.04,-151.53,-33.16
27.5,2266.9,-19.03,-149.74,-31.15
28.5,2339.2,-19.91,-152.79,-35.8
30.5,2468.3,-19.68,-147.4,-29.45
32.5,2550.5,-20.23,-150.27,-33.47
33.5,2591.6,-20.79,-147.6,-31.17
34.5,2632.4,-18.99,-148.24,-29.61
35.5,2674.7,-20.41,-145.84,-28.74
36.5,2718.7,-16.47,-148.21,-26.37
37.5,2762.9,-18.61,-146.11,-26.77
38.5,2807.2,-16.55,-141.59,-18.95
40.5,2898.2,-13.71,-146.13,-20.49
42.5,3001.4,-16.46,-142.64,-20.16
43.5,3053.2,-16.94,-144.12,-22.48
44.5,3105.1,-14.85,-142.1,-17.43
46.5,3196.8,-14.29,-143.24,-18.01
48.5,3283.7,-12.4,-139.47,-11.19
50.5,3381.4,-15.19,-144.87,-21.06
51.5,3447.3,-16.4,-143.93,-21.58
52.5,3513.3,-12.39,-140.75,-12.66
53.5,3579.2,-16.27,-144.52,-22.08
54.5,3644.4,-14.89,-142.59,-18.08
55.5,3735.8,-12.27,-143.26,-15.4
56.5,3854.4,-10.87,-139.79,-9.56
57.5,3973.5,-12.97,-138,-10.29
58.5,4092.5,-14.15,-142.31,-16.79
59.5,4211.1,-13.98,-137.99,-11.57
60.5,4305.8,-11.62,-136.77,-7.03
