AvgDepth,Age,Ti_pct
0.2,-26.22,5.73
0.7,15.98,4.89
1.2,58.14,5.3
1.7,100.24,5.03
2.2,142.36,5.35
2.7,184.51,6.47
3.2,226.66,5.34
3.7,268.81,5.53
4.2,310.94,4.93
4.7,353.04,5.07
5.2,394.82,7.01
5.7,436.12,7.15
6.2,477.28,6.51
6.7,518.23,4.75
7.2,559.26,3.13
7.7,600.41,6.65
8.2,641.6,4.7
8.7,682.85,5.29
9.2,724,3.93
9.7,765,3.95
10.2,804.22,4.04
10.7,840.77,4.61
11.2,877.26,3.75
11.7,913.66,4.85
12.2,950.08,5.13
12.7,986.53,5.36
13.2,1023.2,4.65
13.7,1060.1,4.32
14.2,1097,4.07
14.7,1133.8,3.96
15.2,1175,3.21
15.7,1223.1,3.77
16.2,1271.3,4.08
16.7,1319.5,3.99
17.2,1367.9,3.84
17.7,1416.4,3.6
18.2,1464.8,4.42
18.7,1513,4.47
19.2,1561.3,4.21
19.7,1609.7,4.4
20.2,1656.7,4.4
20.7,1701.3,4.81
21.2,1746,3.58
21.7,1790.7,3.39
22.2,1835.5,3.48
22.7,1880.3,3.2
23.2,1925.1,3.26
23.7,1969.9,4.1
24.2,2014.8,3.66
24.7,2059.7,3.77
25.2,2101,4.1
25.7,2136.9,4.81
26.2,2173,4.72
26.7,2209.1,5.58
27.2,2245.2,5.4
27.7,2281.3,4.75
28.2,2317.4,4.91
28.7,2353.8,5.32
29.2,2390,5
29.7,2426,4.94
30.2,2455.9,5.67
30.7,2476.6,6.13
31.2,2497.2,6.56
31.7,2517.7,6.61
32.2,2538.2,6.8
32.7,2558.7,5.77
33.2,2579.2,6.44
33.7,2599.8,5.5
34.2,2620.2,4.49
34.7,2640.5,5.22
35.2,2661.5,4.05
35.7,2683.5,3.8
36.2,2705.5,3.56
36.7,2727.5,5.48
37.2,2749.6,3.91
37.7,2771.8,3.38
38.2,2794,3.58
38.7,2816,4.14
39.2,2837.9,4.29
39.7,2859.6,2.87
40.2,2882.8,3.06
40.7,2908.4,3.6
41.2,2934.1,3.93
41.7,2959.9,3.67
42.2,2985.8,3.25
42.7,3011.7,4.46
43.2,3037.7,3.58
43.7,3063.6,3.87
44.2,3089.5,3.16
44.7,3115.4,2.89
45.2,3139.7,3.84
45.7,3161.6,3.79
46.2,3183.6,3.24
46.7,3205.6,3.25
47.2,3227.4,3.34
47.7,3249,2.98
48.2,3270.7,2.43
48.7,3292.4,2.33
49.2,3314,3.39
49.7,3335.6,3
50.2,3361.7,3.13
50.7,3394.6,3.47
51.2,3427.5,3.21
51.7,3460.5,2.88
52.2,3493.5,2.11
52.7,3526.5,3.15
53.2,3559.5,2.67
53.7,3592.4,2.35
54.2,3625,2.73
54.7,3657.3,3.62
55.2,3700.3,3.55
55.7,3759.4,3.13
56.2,3818.6,3.09
56.7,3878.2,2.34
57.2,3937.7,1.79
57.7,3997.3,2.34
58.2,4056.9,3.04
58.7,4116.3,3.71
59.2,4175.6,3.35
59.7,4234.9,2.48
60.2,4284.5,2.4
60.7,4319.9,2.43
61.2,4355.5,2.1
61.7,4391.5,2.61
62.2,4427.6,2.7
62.7,4463.8,2.55
63.2,4500,2.66
63.7,4536.3,2.95
64.2,4572.6,3.04
64.7,4608.9,3.01
65.2,4644.9,2.37
65.7,4680.8,2.91
66.2,4716.6,2.59
66.7,4752.4,2.55
67.2,4788.3,2.89
67.7,4824.3,2.87
68.2,4860.3,3.05
68.7,4896.4,2.8
69.2,4932.4,2.98
69.7,4968.3,3.05
70.2,5002.2,2.76
70.7,5032.8,3.14
71.2,5063.6,3.28
71.7,5094.7,3.18
72.2,5125.9,3.42
72.7,5157.3,3.79
73.2,5188.4,3.52
73.7,5219.1,3.29
74.2,5249.8,2.74
74.7,5280.4,2.89
75.2,5304.6,2.22
75.7,5319.2,3.36
76.2,5333.6,3.16
76.7,5347.8,3.39
77.2,5362.1,3.6
77.7,5376.3,3.31
78.2,5390.6,4.12
78.7,5404.8,3.09
79.2,5419.1,3.39
79.7,5433.5,3.46
80.2,5448.7,3.35
80.7,5465.1,2.89
81.2,5481.7,2.7
81.7,5498.5,2.47
82.2,5515.2,2.15
82.7,5532,2.59
83.2,5548.8,2.92
83.7,5565.7,2.66
84.2,5582.5,2.82
84.7,5599.2,2.93
85.2,5621,2.06
85.7,5650.1,2.2
86.2,5679.2,2.4
86.7,5708.3,2.74
87.2,5737.3,2.86
87.7,5766.4,2.24
88.2,5795.5,2.34
88.7,5824.6,2.23
89.2,5853.7,2.71
89.7,5882.6,2.52
90.2,5915.3,2.29
90.7,5953.5,2.39
91.2,5991.8,2.47
91.7,6029.9,2.79
92.2,6068,2.22
92.7,6105.9,2.22
93.2,6143.9,2.91
93.7,6181.9,2.93
94.2,6219.9,2.45
94.7,6258,2.34
95.2,6296,2.12
95.7,6333.8,2.45
96.2,6371.3,2.42
96.7,6408.6,2.64
97.2,6446,2.67
97.7,6483.4,2.75
98.2,6520.9,2.83
98.7,6558.4,2.67
99.2,6596,2.36
99.7,6633.6,2.25
100.2,6684.6,2.14
100.7,6755.6,2.58
101.2,6826.7,2.31
101.7,6897.9,2.13
102.2,6969.2,2.45
102.7,7040.8,2.08
103.2,7112.5,2.43
103.7,7184.6,2.32
104.2,7256.1,1.74
104.7,7326.8,1.45
